Country,Total
Canada,1425
Nigeria,148
Tanzania,14
Lebanon,25
South Korea,1965
China,14755
Thailand,7007
Germany,5451
Russia,750
Australia,2193
Greece,257
Hungary,206
Iran,1217
Norway,121
India,5208
Japan,2152
Saudi Arabia,554
Czech Republic,519
France,4093
Italy,4638
Turkey,726
United States,11992
Hong Kong,281
Indonesia,776
Poland,1149
Viet Nam,437
Malaysia,1157
United Arab Emirates,48
Argentina,74
Pakistan,385
Brazil,2509
Mexico,288
Algeria,60
Austria,781
Chile,361
Iraq,224
United Kingdom,5251
Netherlands,798
Spain,3205
Cambodia,60
Laos,16
Egypt,595
Lithuania,17
Sri Lanka,14
Cyprus,21
Taiwan,1261
Belgium,1281
Cameroon,14
Kazakhstan,33
Malta,3
Philippines,53
Portugal,692
Switzerland,3168
Ecuador,24
Sweden,378
South Africa,310
Nepal,28
Denmark,506
Finland,160
Georgia,14
Qatar,22
Croatia,49
Libya,7
Morocco,41
Bangladesh,115
Slovakia,42
Colombia,184
New Zealand,64
Romania,106
Bahrain,15
Undefined,28
Belarus,32
Serbia,63
Ireland,93
Ethiopia,59
Israel,115
Singapore,247
Latvia,15
Iceland,64
Peru,48
Dominican Republic,4
Slovenia,32
Uzbekistan,9
Central African Republic,1
Botswana,12
Bulgaria,659
Ukraine,49
Kenya,34
Malawi,10
Grenada,3
Madagascar,5
Oman,23
Ghana,38
Estonia,28
Armenia,45
Myanmar,43
Azerbaijan,5
Maldives,3
Panama,18
Albania,6
Brunei Darussalam,25
Kyrgyzstan,2
Jordan,59
Bhutan,8
Namibia,2
Macao,11
Mali,4
Democratic Republic Congo,3
Fiji,3
Costa Rica,14
Cuba,8
Tunisia,21
Burkina Faso,3
Kuwait,9
Sudan,3
Afghanistan,3
Palestine,8
Syrian Arab Republic,5
Greenland,1
Honduras,4
Libyan Arab Jamahiriya,3
Venezuela,7
Benin,3
Sierra Leone,2
North Korea,2
Luxembourg,4
Uganda,14
Zimbabwe,8
Jamaica,1
Mongolia,2
Guam,1
Bosnia and Herzegovina,4
Moldova,6
Congo,1
Cote dIvoire,4
Papua New Guinea,4
Trinidad and Tobago,2
Mauritius,1
Bolivia,6
Reunion,1
Mozambique,3
North Macedonia,2
Gabon,1
Angola,1
Mauritania,1
Monaco,1
Yemen,2
Barbados,1
French Polynesia,1
Martinique,1
Saint Kitts and Nevis,1
Zambia,1
Senegal,1
